index,word,count,vec_len,cos_avg
1996,the,151983633,0.82164884,0.13382947
1997,of,71874676,0.84378403,0.100011945
1998,and,62210193,0.89815134,0.053856455
1999,in,62004799,0.86619085,0.06953925
2000,to,43364193,0.907536,0.072866224
2001,was,26559707,0.8786259,0.15122269
2003,is,20923272,0.87165755,0.15612826
2005,for,17970059,0.8805189,0.09186184
2006,on,17582287,0.88236135,0.10333802
2004,as,17397452,0.9123265,0.103714764
2007,with,15346117,0.8776035,0.1155334
2011,by,15110188,0.8972232,0.10379227
2002,he,13552032,0.8964557,0.23151325
2008,that,12121723,0.887229,0.10054817
2012,at,11831429,0.87508386,0.122750424
2013,from,11292478,0.88619816,0.114508785
2010,his,10623194,0.8556847,0.14951862
2009,it,10016896,0.9072419,0.14047547
2019,an,8309829,0.93140143,0.15869035
2020,were,7049059,0.91357255,0.172563
2029,which,6412646,0.9389008,0.15653157
2024,are,6411797,0.90061295,0.17308804
2023,this,5520977,0.903083,0.13010253
2036,also,5450043,0.91854346,0.16873755
2022,be,5253119,0.9808611,0.2173084
2018,had,5096354,0.9276304,0.1833999
2030,or,5044244,0.9414126,0.09982184
2038,has,5021942,0.92079276,0.21778789
2034,first,4840311,0.9926732,0.12620962
2037,their,4339413,0.8877256,0.19430797
2044,after,4204053,0.9268105,0.14650178
2049,its,4195131,0.90341854,0.183744
2028,one,4151416,1.0143228,0.09618518
2047,new,4039430,0.94882965,0.1940002
2021,but,3962758,0.89502305,0.11304056
2040,who,3919923,0.9829751,0.18025512
2014,her,3866897,0.86716133,0.15983365
2025,not,3829399,0.9777953,0.16862509
2016,she,3813632,0.89640975,0.24717082
2027,they,3730302,0.897647,0.22466622
2031,have,3522359,0.9261759,0.21483412
2048,two,3415323,0.93816906,0.15463357
2042,been,3253551,0.98011744,0.24961066
2060,other,3004434,0.97091675,0.17994396
2043,when,2870867,0.91179794,0.16273557
2076,during,2792951,0.8861031,0.2464011
2035,all,2624895,1.0382053,0.11061989
2046,into,2567822,0.9364489,0.19279887
2045,there,2553647,0.99897975,0.1494741
2051,time,2513534,1.0421566,0.14379032
2089,may,2366872,1.0130566,0.20400949
2062,more,2306475,1.0070823,0.15392686
2082,school,2294105,0.98713005,0.19406871
2086,years,2231659,1.0205075,0.25219288
2058,over,2179861,0.97370946,0.13824429
2069,only,2112083,1.0312961,0.13013154
2052,would,2102544,0.95306176,0.21408999
2101,later,2051542,1.0019008,0.1734275
2087,most,2046995,1.0035678,0.1812078
2073,where,2042679,0.99789965,0.18911415
2090,between,2035097,1.068341,0.208226
2070,some,1947366,0.9443258,0.17149895
2039,up,1946964,0.98301065,0.1501685
2088,world,1918571,1.0445316,0.20044804
2103,city,1903162,0.97791535,0.2147196
2120,national,1896237,0.9660639,0.2567569
2055,about,1862871,0.92566305,0.17865157
2107,such,1853168,1.1140299,0.20727292
2032,him,1851916,0.8792468,0.2116571
2059,then,1845490,0.96577966,0.13497242
2081,made,1840000,1.0022281,0.20738012
2041,out,1830283,0.9947764,0.14447309
2110,state,1829694,1.0840132,0.18370223
2093,three,1818763,0.90662783,0.20509703
2096,while,1809191,0.9271462,0.1736978
2109,used,1802567,0.9926467,0.26277858
2118,university,1786601,0.99973875,0.26223558
2064,can,1769917,0.996864,0.18829761
2142,united,1763848,1.1335618,0.26400682
2104,under,1749319,1.0072453,0.17345124
2124,known,1736899,1.0389013,0.24690154
2161,season,1725188,1.0157038,0.24796952
2116,many,1720074,0.94967294,0.20640014
2095,year,1709567,1.0342368,0.23088846
2112,part,1686043,1.0632833,0.15744118
2150,became,1682161,0.94180787,0.27594298
2141,born,1660281,1.1783762,0.24735601
2143,film,1659127,0.9633188,0.23897162
2122,these,1648336,0.9530734,0.21912228
2084,than,1644138,1.1144536,0.20678861
2136,team,1637528,0.96842295,0.22882794
2053,no,1624480,1.0042431,0.17294191
2117,second,1622272,0.9550798,0.17997351
2164,including,1583512,0.9261191,0.24103913
2163,states,1581685,1.1228783,0.26354083
2108,being,1571014,1.0303483,0.19166714
2083,through,1555881,0.94435143,0.17009634
2077,before,1543905,0.97930944,0.17201681
2119,both,1542745,1.011047,0.1397348
2137,american,1536124,0.95692253,0.25655836
2148,south,1504540,0.95111156,0.22948886
2220,early,1498143,1.0320765,0.22229664
2162,war,1495502,1.090808,0.23064138
2381,history,1456008,1.0586078,0.23877531
2114,against,1445290,1.0039016,0.23315942
2174,however,1439843,0.9905565,0.26733798
2155,family,1439359,1.0558894,0.19512862
2127,until,1411078,1.0175636,0.22377785
2092,well,1406769,1.0471516,0.18163429
2144,since,1393061,1.000184,0.21071693
2068,them,1373966,0.9026275,0.20790698
2147,work,1368317,1.0513297,0.17350736
2166,life,1355687,1.0956721,0.1778239
