index,word1,word2,word3,word4,dataset_name,part,id1,id2,id3,id4,id_num
0,Athens,Greece,Baghdad,Iraq,capital-common-countries,semantic,[7571],[5483],[13952],[5712],4
1,Athens,Greece,Bangkok,Thailand,capital-common-countries,semantic,[7571],[5483],[12627],[6504],4
2,Athens,Greece,Beijing,China,capital-common-countries,semantic,[7571],[5483],[7211],[2859],4
3,Athens,Greece,Berlin,Germany,capital-common-countries,semantic,[7571],[5483],[4068],[2762],4
4,Athens,Greece,Bern,Switzerland,capital-common-countries,semantic,[7571],[5483],[16595],[5288],4
5,Athens,Greece,Cairo,Egypt,capital-common-countries,semantic,[7571],[5483],[11096],[5279],4
6,Athens,Greece,Canberra,Australia,capital-common-countries,semantic,[7571],[5483],[13107],[2660],4
7,Athens,Greece,Hanoi,Vietnam,capital-common-countries,semantic,[7571],[5483],[24809],[5148],4
8,Athens,Greece,Havana,Cuba,capital-common-countries,semantic,[7571],[5483],[15278],[7394],4
9,Athens,Greece,Helsinki,Finland,capital-common-countries,semantic,[7571],[5483],[12331],[6435],4
10,Athens,Greece,Islamabad,Pakistan,capital-common-countries,semantic,[7571],[5483],[26905],[4501],4
11,Athens,Greece,Kabul,Afghanistan,capital-common-countries,semantic,[7571],[5483],[21073],[7041],4
12,Athens,Greece,London,England,capital-common-countries,semantic,[7571],[5483],[2414],[2563],4
13,Athens,Greece,Madrid,Spain,capital-common-countries,semantic,[7571],[5483],[6921],[3577],4
14,Athens,Greece,Moscow,Russia,capital-common-countries,semantic,[7571],[5483],[4924],[3607],4
15,Athens,Greece,Oslo,Norway,capital-common-countries,semantic,[7571],[5483],[9977],[5120],4
16,Athens,Greece,Ottawa,Canada,capital-common-countries,semantic,[7571],[5483],[8166],[2710],4
17,Athens,Greece,Paris,France,capital-common-countries,semantic,[7571],[5483],[3000],[2605],4
18,Athens,Greece,Rome,Italy,capital-common-countries,semantic,[7571],[5483],[4199],[3304],4
19,Athens,Greece,Stockholm,Sweden,capital-common-countries,semantic,[7571],[5483],[8947],[4701],4
20,Athens,Greece,Tehran,Iran,capital-common-countries,semantic,[7571],[5483],[13503],[4238],4
21,Athens,Greece,Tokyo,Japan,capital-common-countries,semantic,[7571],[5483],[5522],[2900],4
22,Baghdad,Iraq,Bangkok,Thailand,capital-common-countries,semantic,[13952],[5712],[12627],[6504],4
23,Baghdad,Iraq,Beijing,China,capital-common-countries,semantic,[13952],[5712],[7211],[2859],4
24,Baghdad,Iraq,Berlin,Germany,capital-common-countries,semantic,[13952],[5712],[4068],[2762],4
25,Baghdad,Iraq,Bern,Switzerland,capital-common-countries,semantic,[13952],[5712],[16595],[5288],4
26,Baghdad,Iraq,Cairo,Egypt,capital-common-countries,semantic,[13952],[5712],[11096],[5279],4
27,Baghdad,Iraq,Canberra,Australia,capital-common-countries,semantic,[13952],[5712],[13107],[2660],4
28,Baghdad,Iraq,Hanoi,Vietnam,capital-common-countries,semantic,[13952],[5712],[24809],[5148],4
29,Baghdad,Iraq,Havana,Cuba,capital-common-countries,semantic,[13952],[5712],[15278],[7394],4
30,Baghdad,Iraq,Helsinki,Finland,capital-common-countries,semantic,[13952],[5712],[12331],[6435],4
31,Baghdad,Iraq,Islamabad,Pakistan,capital-common-countries,semantic,[13952],[5712],[26905],[4501],4
32,Baghdad,Iraq,Kabul,Afghanistan,capital-common-countries,semantic,[13952],[5712],[21073],[7041],4
33,Baghdad,Iraq,London,England,capital-common-countries,semantic,[13952],[5712],[2414],[2563],4
34,Baghdad,Iraq,Madrid,Spain,capital-common-countries,semantic,[13952],[5712],[6921],[3577],4
35,Baghdad,Iraq,Moscow,Russia,capital-common-countries,semantic,[13952],[5712],[4924],[3607],4
36,Baghdad,Iraq,Oslo,Norway,capital-common-countries,semantic,[13952],[5712],[9977],[5120],4
37,Baghdad,Iraq,Ottawa,Canada,capital-common-countries,semantic,[13952],[5712],[8166],[2710],4
38,Baghdad,Iraq,Paris,France,capital-common-countries,semantic,[13952],[5712],[3000],[2605],4
39,Baghdad,Iraq,Rome,Italy,capital-common-countries,semantic,[13952],[5712],[4199],[3304],4
40,Baghdad,Iraq,Stockholm,Sweden,capital-common-countries,semantic,[13952],[5712],[8947],[4701],4
41,Baghdad,Iraq,Tehran,Iran,capital-common-countries,semantic,[13952],[5712],[13503],[4238],4
42,Baghdad,Iraq,Tokyo,Japan,capital-common-countries,semantic,[13952],[5712],[5522],[2900],4
43,Baghdad,Iraq,Athens,Greece,capital-common-countries,semantic,[13952],[5712],[7571],[5483],4
44,Bangkok,Thailand,Beijing,China,capital-common-countries,semantic,[12627],[6504],[7211],[2859],4
45,Bangkok,Thailand,Berlin,Germany,capital-common-countries,semantic,[12627],[6504],[4068],[2762],4
46,Bangkok,Thailand,Bern,Switzerland,capital-common-countries,semantic,[12627],[6504],[16595],[5288],4
47,Bangkok,Thailand,Cairo,Egypt,capital-common-countries,semantic,[12627],[6504],[11096],[5279],4
48,Bangkok,Thailand,Canberra,Australia,capital-common-countries,semantic,[12627],[6504],[13107],[2660],4
49,Bangkok,Thailand,Hanoi,Vietnam,capital-common-countries,semantic,[12627],[6504],[24809],[5148],4
50,Bangkok,Thailand,Havana,Cuba,capital-common-countries,semantic,[12627],[6504],[15278],[7394],4
51,Bangkok,Thailand,Helsinki,Finland,capital-common-countries,semantic,[12627],[6504],[12331],[6435],4
52,Bangkok,Thailand,Islamabad,Pakistan,capital-common-countries,semantic,[12627],[6504],[26905],[4501],4
53,Bangkok,Thailand,Kabul,Afghanistan,capital-common-countries,semantic,[12627],[6504],[21073],[7041],4
54,Bangkok,Thailand,London,England,capital-common-countries,semantic,[12627],[6504],[2414],[2563],4
55,Bangkok,Thailand,Madrid,Spain,capital-common-countries,semantic,[12627],[6504],[6921],[3577],4
56,Bangkok,Thailand,Moscow,Russia,capital-common-countries,semantic,[12627],[6504],[4924],[3607],4
57,Bangkok,Thailand,Oslo,Norway,capital-common-countries,semantic,[12627],[6504],[9977],[5120],4
58,Bangkok,Thailand,Ottawa,Canada,capital-common-countries,semantic,[12627],[6504],[8166],[2710],4
59,Bangkok,Thailand,Paris,France,capital-common-countries,semantic,[12627],[6504],[3000],[2605],4
60,Bangkok,Thailand,Rome,Italy,capital-common-countries,semantic,[12627],[6504],[4199],[3304],4
61,Bangkok,Thailand,Stockholm,Sweden,capital-common-countries,semantic,[12627],[6504],[8947],[4701],4
62,Bangkok,Thailand,Tehran,Iran,capital-common-countries,semantic,[12627],[6504],[13503],[4238],4
63,Bangkok,Thailand,Tokyo,Japan,capital-common-countries,semantic,[12627],[6504],[5522],[2900],4
64,Bangkok,Thailand,Athens,Greece,capital-common-countries,semantic,[12627],[6504],[7571],[5483],4
65,Bangkok,Thailand,Baghdad,Iraq,capital-common-countries,semantic,[12627],[6504],[13952],[5712],4
66,Beijing,China,Berlin,Germany,capital-common-countries,semantic,[7211],[2859],[4068],[2762],4
67,Beijing,China,Bern,Switzerland,capital-common-countries,semantic,[7211],[2859],[16595],[5288],4
68,Beijing,China,Cairo,Egypt,capital-common-countries,semantic,[7211],[2859],[11096],[5279],4
69,Beijing,China,Canberra,Australia,capital-common-countries,semantic,[7211],[2859],[13107],[2660],4
70,Beijing,China,Hanoi,Vietnam,capital-common-countries,semantic,[7211],[2859],[24809],[5148],4
71,Beijing,China,Havana,Cuba,capital-common-countries,semantic,[7211],[2859],[15278],[7394],4
72,Beijing,China,Helsinki,Finland,capital-common-countries,semantic,[7211],[2859],[12331],[6435],4
73,Beijing,China,Islamabad,Pakistan,capital-common-countries,semantic,[7211],[2859],[26905],[4501],4
74,Beijing,China,Kabul,Afghanistan,capital-common-countries,semantic,[7211],[2859],[21073],[7041],4
75,Beijing,China,London,England,capital-common-countries,semantic,[7211],[2859],[2414],[2563],4
76,Beijing,China,Madrid,Spain,capital-common-countries,semantic,[7211],[2859],[6921],[3577],4
77,Beijing,China,Moscow,Russia,capital-common-countries,semantic,[7211],[2859],[4924],[3607],4
78,Beijing,China,Oslo,Norway,capital-common-countries,semantic,[7211],[2859],[9977],[5120],4
79,Beijing,China,Ottawa,Canada,capital-common-countries,semantic,[7211],[2859],[8166],[2710],4
80,Beijing,China,Paris,France,capital-common-countries,semantic,[7211],[2859],[3000],[2605],4
81,Beijing,China,Rome,Italy,capital-common-countries,semantic,[7211],[2859],[4199],[3304],4
82,Beijing,China,Stockholm,Sweden,capital-common-countries,semantic,[7211],[2859],[8947],[4701],4
83,Beijing,China,Tehran,Iran,capital-common-countries,semantic,[7211],[2859],[13503],[4238],4
84,Beijing,China,Tokyo,Japan,capital-common-countries,semantic,[7211],[2859],[5522],[2900],4
85,Beijing,China,Athens,Greece,capital-common-countries,semantic,[7211],[2859],[7571],[5483],4
86,Beijing,China,Baghdad,Iraq,capital-common-countries,semantic,[7211],[2859],[13952],[5712],4
87,Beijing,China,Bangkok,Thailand,capital-common-countries,semantic,[7211],[2859],[12627],[6504],4
88,Berlin,Germany,Bern,Switzerland,capital-common-countries,semantic,[4068],[2762],[16595],[5288],4
89,Berlin,Germany,Cairo,Egypt,capital-common-countries,semantic,[4068],[2762],[11096],[5279],4
90,Berlin,Germany,Canberra,Australia,capital-common-countries,semantic,[4068],[2762],[13107],[2660],4
91,Berlin,Germany,Hanoi,Vietnam,capital-common-countries,semantic,[4068],[2762],[24809],[5148],4
92,Berlin,Germany,Havana,Cuba,capital-common-countries,semantic,[4068],[2762],[15278],[7394],4
93,Berlin,Germany,Helsinki,Finland,capital-common-countries,semantic,[4068],[2762],[12331],[6435],4
94,Berlin,Germany,Islamabad,Pakistan,capital-common-countries,semantic,[4068],[2762],[26905],[4501],4
95,Berlin,Germany,Kabul,Afghanistan,capital-common-countries,semantic,[4068],[2762],[21073],[7041],4
96,Berlin,Germany,London,England,capital-common-countries,semantic,[4068],[2762],[2414],[2563],4
97,Berlin,Germany,Madrid,Spain,capital-common-countries,semantic,[4068],[2762],[6921],[3577],4
98,Berlin,Germany,Moscow,Russia,capital-common-countries,semantic,[4068],[2762],[4924],[3607],4
